Designator,Value,Footprint,Mid X,Mid Y,Rotation,Layer
"C1","4u7","C_0603_1608Metric",-47.500000,-25.400000,-90.000000,bottom
"C2","22-26p","C_0402_1005Metric",-29.750000,-41.900000,0.000000,bottom
"C3","100n","C_0603_1608Metric",-37.950000,-26.000000,0.000000,bottom
"C4","22-26p","C_0402_1005Metric",-35.000000,-33.350000,180.000000,bottom
"C5","100n","C_0603_1608Metric",-26.550000,-33.100000,90.000000,bottom
"C6","100n","C_0603_1608Metric",-26.400000,-40.600000,-90.000000,bottom
"C7","100n","C_0603_1608Metric",-27.900000,-25.950000,0.000000,bottom
"C8","2u2","C_0603_1608Metric",-40.600000,-43.100000,0.000000,bottom
"C9","100n","C_0603_1608Metric",-33.100000,-26.000000,0.000000,bottom
"C10","2u2","C_0603_1608Metric",-41.750000,-25.950000,0.000000,bottom
"C11","100n","C_0603_1608Metric",-26.550000,-29.700000,-90.000000,bottom
"C12","1u","C_0603_1608Metric",-19.950000,-41.675000,90.000000,bottom
"C13","100n","C_0603_1608Metric",-21.750000,-41.675000,90.000000,bottom
"C14","100n","C_0603_1608Metric",-28.050000,-43.200000,0.000000,bottom
"C15","100n","C_0603_1608Metric",-44.050000,-37.950000,-90.000000,bottom
"C16","100n","C_0603_1608Metric",-36.100000,-43.300000,180.000000,bottom
"C17","100n","C_0603_1608Metric",-40.600000,-41.600000,180.000000,bottom
"C18","100n","C_0603_1608Metric",-44.050000,-32.100000,-90.000000,bottom
"R1","750R","R_0603_1608Metric",-30.600000,-32.050000,180.000000,bottom
"R2","10k","R_0603_1608Metric",-38.600000,-32.050000,180.000000,bottom
"R3","10k","R_0603_1608Metric",-26.550000,-36.200000,90.000000,bottom
"Y1","ABM3-8.000MHZ","Crystal_SMD_Abracon_ABM3-2Pin_5.0x3.2mm_HandSoldering",-33.000000,-39.450000,180.000000,bottom
"J1","Conn_02x18_Counter_Clockwise","PinHeader_2x18_P2.00mm_Vertical",13.600000,-18.550000,0.000000,top
"J2","Conn_02x18_Counter_Clockwise","PinHeader_2x18_P2.00mm_Vertical",18.590000,-57.550000,90.000000,top
"J3","Conn_02x18_Counter_Clockwise","PinHeader_2x18_P2.00mm_Vertical",57.550000,-52.550000,180.000000,top
"J4","Conn_02x18_Counter_Clockwise","PinHeader_2x18_P2.00mm_Vertical",52.550000,-13.550000,-90.000000,top
"J5","Conn_01x05","PinHeader_1x05_P2.00mm_Vertical",18.621573,-52.078428,135.000000,top
"SW1","SW_SPDT","PinHeader_1x03_P2.54mm_Vertical",46.350000,-47.300000,45.000000,top
"U1","STM32H743ZITx","LQFP-144_20x20mm_P0.5mm",35.100000,-34.300000,0.000000,top
